,note,subj_id,structural,ses_id,Minimal Preprocessing: emotion_run-02,Minimal Preprocessing: rest_acq-REST2_run-03,Minimal Preprocessing: carit_run-01,Minimal Preprocessing: guessing_run-02,Minimal Preprocessing: carit_run-02,Minimal Preprocessing: rest_acq-REST1_run-01,Minimal Preprocessing: rest_acq-REST1_run-02,Minimal Preprocessing: guessing_run-01,Minimal Preprocessing: rest_acq-REST2_run-04,DCANBoldPreProc: emotion_run-02,DCANBoldPreProc: rest_acq-REST2_run-03,DCANBoldPreProc: carit_run-01,DCANBoldPreProc: guessing_run-02,DCANBoldPreProc: carit_run-02,DCANBoldPreProc: rest_acq-REST1_run-01,DCANBoldPreProc: rest_acq-REST1_run-02,DCANBoldPreProc: guessing_run-01,DCANBoldPreProc: rest_acq-REST2_run-04
151,,0676764,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
152,,0678970,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
153,,0679770,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
154,,0682557,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
155,,0684460,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
156,,0686666,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
157,,0692964,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
158,,0694564,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
159,,0696265,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
160,,0697772,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
161,,0703943,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
162,,0714443,ok,V1,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
